GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EPortfolioJUnit,default,TemplateCSVReader,50,14,2,0,12,4,3,2,2,2
EPortfolioJUnit,default,TemplatePasswordCheck,5,34,2,6,2,10,2,4,0,2
